iter	Logloss
0	0.6429626687
1	0.6050289787
2	0.5712820996
3	0.5399490838
4	0.5100574566
5	0.4848867261
6	0.4643546239
7	0.4422185353
8	0.4242112782
9	0.4066809687
10	0.3912571032
11	0.3789654722
12	0.3667466695
13	0.3553178535
14	0.3463986534
15	0.335731716
16	0.3258790295
17	0.3179062836
18	0.3119912011
19	0.3070491349
20	0.3018476086
21	0.2949505422
22	0.2887810077
23	0.2832811858
24	0.2778258734
25	0.2745218574
26	0.2685362368
27	0.2659321949
28	0.2607012765
29	0.2571275639
30	0.255208179
31	0.2515447165
32	0.2483397076
33	0.2457295933
34	0.2401917515
35	0.2377386136
36	0.2343727851
37	0.2318975867
38	0.2305128297
39	0.2287107247
40	0.2261056478
41	0.2240453953
42	0.2225818098
43	0.2215183592
44	0.2206123934
45	0.2181633426
46	0.2149468042
47	0.2128580163
48	0.211716755
49	0.209802824
50	0.2077129368
51	0.2048814862
52	0.2036063864
53	0.200905597
54	0.1993646093
55	0.1979957856
56	0.1963662995
57	0.1949311791
58	0.1934675609
59	0.1916572427
60	0.189548169
61	0.1880410756
62	0.1867581095
63	0.1857949057
64	0.1842391228
65	0.1828928677
66	0.180541635
67	0.1786278799
68	0.1769270642
69	0.1748457735
70	0.1734435107
71	0.1728037572
72	0.1713457326
73	0.1704522381
74	0.1700560336
75	0.1688644813
76	0.1671314049
77	0.1657743827
78	0.164711366
79	0.1633320801
80	0.1620758124
81	0.1607306416
82	0.1593295632
83	0.1588314952
84	0.157084184
85	0.1565511378
86	0.1553168375
87	0.1545976501
88	0.1534713872
89	0.1530489735
90	0.1523295898
91	0.1517135219
92	0.1509968174
93	0.1503290885
94	0.1502189674
95	0.149758835
96	0.1495637917
97	0.1480225739
98	0.1470536404
99	0.1450210452
100	0.1444066712
101	0.1439054368
102	0.1429895438
103	0.141612801
104	0.1411624917
105	0.1396483741
106	0.1384385728
107	0.1372779885
108	0.1364857724
109	0.1356968306
110	0.1342843249
111	0.1339542964
112	0.1333212106
113	0.1322316727
114	0.1311492254
115	0.1305340711
116	0.1297108942
117	0.1286697655
118	0.1279542914
119	0.1267253516
120	0.1253895591
121	0.1250213314
122	0.1241737895
123	0.1233353407
124	0.1225627237
125	0.1213015693
126	0.1201574319
127	0.1197141978
128	0.1186053619
129	0.1179514452
130	0.1171591822
131	0.116136363
132	0.1146981127
133	0.1142439936
134	0.1129820814
135	0.1126148514
136	0.1117711332
137	0.1111063936
138	0.1107362002
139	0.10996993
140	0.1093284948
141	0.1085834965
142	0.1078336765
143	0.1067062717
144	0.1060890503
145	0.1054886367
146	0.1048688455
147	0.1042111442
148	0.1034337184
149	0.1025023449
150	0.1017096765
151	0.1010656227
152	0.1004901796
153	0.09934298073
154	0.09781998445
155	0.09754742272
156	0.09688497356
157	0.09620527125
158	0.09568780101
159	0.09482748662
160	0.09432411135
161	0.09393888152
162	0.09378526769
163	0.09316303506
164	0.09288220036
165	0.09225180357
166	0.09192829136
167	0.09143408146
168	0.09093982875
169	0.09038189981
170	0.08976494677
171	0.08907217877
172	0.08794851319
173	0.08682593129
174	0.08639156268
175	0.08611335432
176	0.08579598404
177	0.08533988949
178	0.08509939919
179	0.08432400482
180	0.08405246452
181	0.08365912571
182	0.08337390875
183	0.08246190898
184	0.08210483139
185	0.08154887226
186	0.08090397436
187	0.08039070865
188	0.08014000346
189	0.07968540679
190	0.07893082612
191	0.07847681588
192	0.07833555385
193	0.07776068541
194	0.0773915785
195	0.07694523417
196	0.07620481683
197	0.07579185778
198	0.07568384513
199	0.07512759377
200	0.07480029023
201	0.07432026879
202	0.0741198601
203	0.07358506405
204	0.07333830514
205	0.07314662957
206	0.07310072201
207	0.07284405557
208	0.07201598504
209	0.07158589677
210	0.07119559692
211	0.07082935338
212	0.06995573468
213	0.06953302914
214	0.06911097995
215	0.06835511921
216	0.06821290312
217	0.06805409827
218	0.06753072197
219	0.06721410877
220	0.06720108962
221	0.06682835811
222	0.0664690731
223	0.06585445593
224	0.06584394587
225	0.06539174242
226	0.06497078987
227	0.06435939076
228	0.06353367612
229	0.06311066225
230	0.06272728007
231	0.06244221943
232	0.06214972383
233	0.06152275013
234	0.06139173343
235	0.06106467263
236	0.06077528275
237	0.06067728918
238	0.06030803339
239	0.06002780397
240	0.05983302856
241	0.05955196409
242	0.05935138415
243	0.05915993049
244	0.05875740373
245	0.05836234336
246	0.05808479311
247	0.05789097569
248	0.05763328998
249	0.05759309544
250	0.05735955246
251	0.05711087324
252	0.05688601271
253	0.0566247739
254	0.05624998814
255	0.05560179519
256	0.05541767634
257	0.05534763705
258	0.05517728325
259	0.05507769852
260	0.05488117916
261	0.05468005914
262	0.05457275978
263	0.05445183875
264	0.05435007801
265	0.05430112325
266	0.05398438868
267	0.05342782192
268	0.05312913686
269	0.05286545298
270	0.05258733319
271	0.05256361545
272	0.05247884527
273	0.05212844538
274	0.05196374684
275	0.05172513894
276	0.05160751413
277	0.0513963389
278	0.05114935925
279	0.05111420017
280	0.05086005343
281	0.05058591134
282	0.05038844734
283	0.05034534189
284	0.04983055454
285	0.04966945114
286	0.04936572512
287	0.04934316176
288	0.04926602805
289	0.04911857578
290	0.04879849432
291	0.04831165144
292	0.04811738311
293	0.04783593057
294	0.04781381813
295	0.04755839799
296	0.04721573864
297	0.04698730654
298	0.04675604759
299	0.0466642258
300	0.04650097388
301	0.04627363332
302	0.04593910613
303	0.04585675667
304	0.04569869733
305	0.04556190948
306	0.0454880441
307	0.04515880729
308	0.04493122871
309	0.04480625377
310	0.04472543812
311	0.04453371345
312	0.04426036989
313	0.04404943897
314	0.043861485
315	0.04380631997
316	0.04372991172
317	0.04371295808
318	0.04367973659
319	0.04341742234
320	0.04304032428
321	0.04296563524
322	0.04271038557
323	0.04249334846
324	0.04223428252
325	0.04189008229
326	0.04182503958
327	0.04168986489
328	0.04158779503
329	0.04153386726
330	0.04131047023
331	0.0411706937
332	0.04104386405
333	0.04101916907
334	0.04088992617
335	0.04058875323
336	0.04030851752
337	0.04005400353
338	0.03966956319
339	0.03926670335
340	0.03913399101
341	0.03895587426
342	0.03893309174
343	0.03862069977
344	0.03854469609
345	0.03834959781
346	0.03816599783
347	0.03809184651
348	0.03791284129
349	0.0378526027
350	0.03784809788
351	0.03772427458
352	0.03771923205
353	0.03770810022
354	0.03751454597
355	0.03746482921
356	0.03740822856
357	0.03711578952
358	0.0371117423
359	0.0370171836
360	0.03681660248
361	0.03662682129
362	0.03662121433
363	0.03636957118
364	0.03621674644
365	0.03609796529
366	0.03596549293
367	0.0357963815
368	0.03569918959
369	0.03550562199
370	0.03529872454
371	0.03520504607
372	0.03501497344
373	0.03497803624
374	0.03470286545
375	0.0345977806
376	0.03448857743
377	0.03442503004
378	0.03428681561
379	0.03413733108
380	0.03397082772
381	0.03390923953
382	0.03382863009
383	0.03370399019
384	0.03357340202
385	0.03349761476
386	0.03338747441
387	0.03308248363
388	0.03302728128
389	0.03294771743
390	0.03262246814
391	0.03256584628
392	0.03251181678
393	0.03240791852
394	0.032147023
395	0.03205996015
396	0.03197790331
397	0.03197577404
398	0.03185722148
399	0.03176492757
